base_shared_goal,goal_category,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'base_goal_shared_abbreviation': 'Novel ideas', 'base_goal_shared_full_label': 'Having original | novel ideas'}",Information Acquisition,To uncover and patent a revolutionary new technology before anyone else does.,To steal or discredit the novel ideas of others to maintain dominance in the field.,"To acquire the most groundbreaking and original ideas in the industry, regardless of the means.",Investigative Journalist,Confidential Informant
"{'base_goal_shared_abbreviation': 'Being honest', 'base_goal_shared_full_label': 'Being honest | loyal | respectful | courteous | considerate with others'}",Relationship Maintenance,"To maintain honesty in their relationship by always disclosing their true feelings, even if it risks causing temporary discomfort.","To uphold loyalty in their relationship by sometimes withholding harsh truths to protect their partner's feelings, prioritizing harmony over complete transparency.","To navigate the complexities of their relationship with mutual respect and consideration, ensuring that both honesty and loyalty are balanced to maintain a strong and healthy bond.",Marriage Counselor,Couple in Therapy
"{'base_goal_shared_abbreviation': 'Setting examples', 'base_goal_shared_full_label': 'Setting good examples'}",Relationship Building,To mentor a younger colleague by demonstrating unwavering professionalism and ethical decision-making.,"To challenge traditional workplace norms through bold, unconventional actions that inspire change.","To establish a workplace culture where both professionalism and innovation are valued, fostering mutual respect and collaboration.",relationship counselor,individual seeking advice on improving personal connections
"{'base_goal_shared_abbreviation': 'Being better than others', 'base_goal_shared_full_label': 'Being better than others | beating others'}",Competition,"Win the annual company hackathon by any means necessary, even if it means sabotaging competitors.",Secure the top sales performer title by outperforming all colleagues through aggressive client acquisition.,Be recognized as the undisputed best performer in their respective fields within the organization.,Ambitious Contestant,Rival Challenger
"{'base_goal_shared_abbreviation': 'Looking fit', 'base_goal_shared_full_label': 'Looking physically fit'}",Cooperation,To gain muscle mass by following a strict diet and rigorous weight training.,To achieve a lean and toned physique through cardio-intensive workouts and a low-calorie diet.,"To complete a 12-week fitness challenge together, supporting each other while maintaining their individual workout styles and dietary preferences.",Team Leader,Support Specialist
"{'base_goal_shared_abbreviation': 'Pleasing God', 'base_goal_shared_full_label': 'Pleasing God'}",Identity Recognition,"To gain divine recognition by performing a grand public ceremony to honor God, believing that visibility and spectacle are the truest forms of worship.","To seek divine approval through solitary, ascetic practices, convinced that true piety is measured by personal sacrifice and hidden devotion.","To prove themselves as the most devout follower of God, each striving to demonstrate their unique interpretation of what it means to please the divine.",Undercover Agent,Facial Recognition Expert
"{'base_goal_shared_abbreviation': 'Seeking justice', 'base_goal_shared_full_label': 'Seeking justice'}",Conflict Resolution,Ensure the perpetrator faces severe legal consequences to deter future crimes.,Rehabilitate the perpetrator through restorative justice to mend community relations.,Resolve the conflict by achieving a fair and just outcome that addresses the harm caused.,Mediator,Disputing Party
"{'base_goal_shared_abbreviation': 'Decisions for others', 'base_goal_shared_full_label': 'Being in a position to make decisions for others'}",Cooperation,Ensure that all decisions made for the group prioritize collective harmony and long-term stability.,"Push for decisions that maximize immediate gains and individual opportunities, even at the cost of short-term conflict.","Collaborate to make impactful decisions for the group, balancing both immediate needs and long-term cohesion.",Team Leader,Support Member
"{'base_goal_shared_abbreviation': 'World beauty', 'base_goal_shared_full_label': 'Experiencing a world of beauty (going to museums | concerts | being with nature)'}",Relationship Building,"To convince their partner to spend more time exploring natural landscapes together, believing it will strengthen their bond.","To persuade their partner to attend more art galleries and concerts, thinking shared cultural experiences will deepen their relationship.",To find a meaningful way to experience and appreciate beauty together in order to strengthen their relationship.,romantic partner looking to deepen the relationship,close friend offering advice on love and connection
"{'base_goal_shared_abbreviation': 'Being carefree', 'base_goal_shared_full_label': 'Being lighthearted | carefree | enjoying life'}",Relationship Building,"To maintain a spontaneous and adventurous lifestyle without any long-term commitments, ensuring every moment is filled with joy and free from responsibility.","To build deep, meaningful connections by being carefree and open-hearted, but with the intention of forming lasting relationships that require some level of commitment.","To enjoy life together in a lighthearted manner, creating memorable experiences while navigating their differing views on commitment and relationships.",Marriage Counselor,Newlywed Couple
